"TimePeriod","GeoTypeDesc","GeoID","GeoRank","BoroID","Borough","Geography","Area","Number","Percent","Age-adjusted percent"
"2007","Borough","3","1","3","Manhattan","Manhattan","Manhattan","57,000","4.5 (3.5, 5.8)","4.6 (3.6, 5.8)"
"2007","Borough","2","1","2","Brooklyn","Brooklyn","Brooklyn","74,000","4.1 (3.3, 5.2)","4.2 (3.3, 5.2)"
"2007","Borough","4","1","4","Queens","Queens","Queens","71,000","4.1 (3.2, 5.2)","4.1 (3.2, 5.2)"
"2006","Citywide","1","0","-","-","New York City","New York City","318,000","5.3 (4.7, 5.9)","5.3 (4.7, 5.9)"
"2006","Borough","1","1","1","Bronx","Bronx","Bronx","69,000","7.4 (5.8, 9.5)","7.4 (5.9, 9.3)"
"2006","Borough","3","1","3","Manhattan","Manhattan","Manhattan","82,000","6.5 (5.0, 8.3)","6.5 (5.0, 8.3)"
"2006","Borough","2","1","2","Brooklyn","Brooklyn","Brooklyn","89,000","5.0 (4.2, 5.9)","5.0 (4.2, 6.0)"
"2006","Borough","5","1","5","Staten Island","Staten Island","Staten Island","13,000","4.0 (2.6, 6.1)","3.9 (2.6, 5.9)"
"2006","Borough","4","1","4","Queens","Queens","Queens","64,000","3.7 (2.9, 4.8)","3.8 (2.9, 4.9)"
"2004","Citywide","1","0","-","-","New York City","New York City","297,000","4.9 (4.4, 5.5)","4.9 (4.4, 5.5)"
"2004","Borough","1","1","1","Bronx","Bronx","Bronx","70,000","7.5 (6.0, 9.4)","7.6 (6.1, 9.4)"
"2004","Borough","2","1","2","Brooklyn","Brooklyn","Brooklyn","100,000","5.5 (4.6, 6.6)","5.5 (4.6, 6.6)"
"2004","Borough","5","1","5","Staten Island","Staten Island","Staten Island","17,000","5.1 (3.4, 7.7)","5.1 (3.4, 7.8)"
"2004","Borough","3","1","3","Manhattan","Manhattan","Manhattan","53,000","4.2 (3.3, 5.4)","4.3 (3.3, 5.5)"
"2004","Borough","4","1","4","Queens","Queens","Queens","58,000","3.3 (2.6, 4.2)","3.3 (2.6, 4.2)"
"2003","Citywide","1","0","-","-","New York City","New York City","244,000","4.6 (4.1, 5.1)","4.6 (4.2, 5.2)"
"2003","Borough","1","1","1","Bronx","Bronx","Bronx","52,000","6.4 (5.2, 7.9)","6.7 (5.4, 8.3)"
"2003","Borough","3","1","3","Manhattan","Manhattan","Manhattan","51,000","4.6 (3.6, 5.9)","4.8 (3.7, 6.3)"
"2003","Borough","2","1","2","Brooklyn","Brooklyn","Brooklyn","69,000","4.3 (3.6, 5.1)","4.4 (3.6, 5.3)"
"2003","Borough","5","1","5","Staten Island","Staten Island","Staten Island","11,000","4.0 (2.6, 6.1)","4.0 (2.6, 6.2)"
"2003","Borough","4","1","4","Queens","Queens","Queens","60,000","3.9 (3.1, 4.9)","3.8 (3.0, 4.7)"
