cbsa,pollutant,trend_stat,sites,year,value
"New York-Newark-Jersey City, NY-NJ-PA",NO2,Annual Mean,4.0,2016,14.0
"San Francisco-Oakland-Hayward, CA",NO2,Annual Mean,6.0,2016,8.0
"Houston-The Woodlands-Sugar Land, TX",NO2,Annual Mean,10.0,2017,7.0
"New York-Newark-Jersey City, NY-NJ-PA",NO2,Annual Mean,4.0,2017,13.0
"San Francisco-Oakland-Hayward, CA",NO2,Annual Mean,6.0,2017,9.0
"Houston-The Woodlands-Sugar Land, TX",NO2,Annual Mean,10.0,2018,7.0
"New York-Newark-Jersey City, NY-NJ-PA",NO2,Annual Mean,4.0,2018,13.0
"San Francisco-Oakland-Hayward, CA",NO2,Annual Mean,6.0,2018,9.0
"Houston-The Woodlands-Sugar Land, TX",NO2,Annual Mean,10.0,2019,7.0
"New York-Newark-Jersey City, NY-NJ-PA",NO2,Annual Mean,4.0,2019,13.0
"San Francisco-Oakland-Hayward, CA",NO2,Annual Mean,6.0,2019,8.0
"Houston-The Woodlands-Sugar Land, TX",NO2,Annual Mean,10.0,2020,7.0
"New York-Newark-Jersey City, NY-NJ-PA",NO2,Annual Mean,4.0,2020,12.0
"San Francisco-Oakland-Hayward, CA",NO2,Annual Mean,6.0,2020,7.0
"Houston-The Woodlands-Sugar Land, TX",NO2,Annual Mean,10.0,2021,7.0
"New York-Newark-Jersey City, NY-NJ-PA",NO2,Annual Mean,4.0,2021,13.0
"San Francisco-Oakland-Hayward, CA",NO2,Annual Mean,6.0,2021,6.0
"Houston-The Woodlands-Sugar Land, TX",NO2,Annual Mean,10.0,2022,8.0
"New York-Newark-Jersey City, NY-NJ-PA",NO2,Annual Mean,4.0,2022,13.0
"San Francisco-Oakland-Hayward, CA",NO2,Annual Mean,6.0,2022,7.0
"Houston-The Woodlands-Sugar Land, TX",NO2,Annual Mean,10.0,2023,7.0
"New York-Newark-Jersey City, NY-NJ-PA",NO2,Annual Mean,4.0,2023,13.0
"San Francisco-Oakland-Hayward, CA",NO2,Annual Mean,6.0,2023,6.0
